Method,LoggingLevel,Log
"<org.apache.hadoop.hdfs.server.namenode.FSImage: void loadFSImageFile(org.apache.hadoop.hdfs.server.namenode.FSNamesystem,org.apache.hadoop.hdfs.server.namenode.MetaRecoveryContext,org.apache.hadoop.hdfs.server.namenode.FSImageStorageInspector$FSImageFile,org.apache.hadoop.hdfs.server.common.HdfsServerConstants$StartupOption)>",debug,Planning to load image :\n imageFile 
"<org.apache.hadoop.hdfs.server.namenode.FSImage: void loadFSImage(java.io.File,org.apache.hadoop.io.MD5Hash,org.apache.hadoop.hdfs.server.namenode.FSNamesystem,org.apache.hadoop.hdfs.server.namenode.MetaRecoveryContext,boolean)>",info,Loaded image for txid  <*>  from  curFile 
"<org.apache.hadoop.hdfs.server.namenode.FSImage: void format(org.apache.hadoop.hdfs.server.namenode.FSNamesystem,java.lang.String)>",info,Allocated new BlockPoolId:  <*> 
<org.apache.hadoop.hdfs.server.namenode.FSImage: void finalizeUpgrade(boolean)>,info,Finalizing upgrade for local dirs.  <*> 
<org.apache.hadoop.hdfs.server.namenode.FSImage: void endCheckpoint(org.apache.hadoop.hdfs.server.namenode.CheckpointSignature)>,info,End checkpoint at txid  <*> 
<org.apache.hadoop.hdfs.server.namenode.FSImage: void doUpgrade(org.apache.hadoop.hdfs.server.namenode.FSNamesystem)>,<init>,Edits log must not be open.
<org.apache.hadoop.hdfs.server.namenode.FSImage: void doUpgrade(org.apache.hadoop.hdfs.server.namenode.FSNamesystem)>,error,Failed to move aside pre-upgrade storage in image directory  <*> 
<org.apache.hadoop.hdfs.server.namenode.FSImage: void doUpgrade(org.apache.hadoop.hdfs.server.namenode.FSNamesystem)>,info,Starting upgrade of local storage directories.\n   old LV =  <*> ; old CTime =  <*> .\n   new LV =  <*> ; new CTime =  <*> 
<org.apache.hadoop.hdfs.server.namenode.FSImage: void doRollback(org.apache.hadoop.hdfs.server.namenode.FSNamesystem)>,info,Can perform rollback for  sd 
<org.apache.hadoop.hdfs.server.namenode.FSImage: void doRollback(org.apache.hadoop.hdfs.server.namenode.FSNamesystem)>,info,Can perform rollback for shared edit log.
<org.apache.hadoop.hdfs.server.namenode.FSImage: void doRollback(org.apache.hadoop.hdfs.server.namenode.FSNamesystem)>,info,Rolling back storage directory  <*> .\n   new LV =  <*> ; new CTime =  <*> 
<org.apache.hadoop.hdfs.server.namenode.FSImage: void deleteCancelledCheckpoint(long)>,warn,Unable to delete cancelled checkpoint in  sd 
"<org.apache.hadoop.hdfs.server.namenode.FSImage: org.apache.hadoop.hdfs.server.protocol.NamenodeCommand startCheckpoint(org.apache.hadoop.hdfs.server.protocol.NamenodeRegistration,org.apache.hadoop.hdfs.server.protocol.NamenodeRegistration)>",error,Name node  <*>  has newer image layout version: LV =  <*>  cTime =  <*> . Current version: LV =  <*>  cTime =  <*> 
"<org.apache.hadoop.hdfs.server.namenode.FSImage: org.apache.hadoop.hdfs.server.protocol.NamenodeCommand startCheckpoint(org.apache.hadoop.hdfs.server.protocol.NamenodeRegistration,org.apache.hadoop.hdfs.server.protocol.NamenodeRegistration)>",info,Start checkpoint at txid  <*> 
"<org.apache.hadoop.hdfs.server.namenode.FSImage: long loadEdits(java.lang.Iterable,org.apache.hadoop.hdfs.server.namenode.FSNamesystem,org.apache.hadoop.hdfs.server.common.HdfsServerConstants$StartupOption,org.apache.hadoop.hdfs.server.namenode.MetaRecoveryContext)>",debug,About to load edits:\n   <*> 
"<org.apache.hadoop.hdfs.server.namenode.FSImage: long loadEdits(java.lang.Iterable,org.apache.hadoop.hdfs.server.namenode.FSNamesystem,org.apache.hadoop.hdfs.server.common.HdfsServerConstants$StartupOption,org.apache.hadoop.hdfs.server.namenode.MetaRecoveryContext)>",info,Reading  editIn  expecting start txid # <*> 
"<org.apache.hadoop.hdfs.server.namenode.FSImage: boolean recoverTransitionRead(org.apache.hadoop.hdfs.server.common.HdfsServerConstants$StartupOption,org.apache.hadoop.hdfs.server.namenode.FSNamesystem,org.apache.hadoop.hdfs.server.namenode.MetaRecoveryContext)>",info,Storage directory  <*>  is not formatted. 
"<org.apache.hadoop.hdfs.server.namenode.FSImage: boolean recoverTransitionRead(org.apache.hadoop.hdfs.server.common.HdfsServerConstants$StartupOption,org.apache.hadoop.hdfs.server.namenode.FSNamesystem,org.apache.hadoop.hdfs.server.namenode.MetaRecoveryContext)>",info,Formatting ...
"<org.apache.hadoop.hdfs.server.namenode.FSImage: boolean recoverTransitionRead(org.apache.hadoop.hdfs.server.common.HdfsServerConstants$StartupOption,org.apache.hadoop.hdfs.server.namenode.FSNamesystem,org.apache.hadoop.hdfs.server.namenode.MetaRecoveryContext)>",trace,Data dir states:\n   <*> 
"<org.apache.hadoop.hdfs.server.namenode.FSImage: boolean loadFSImage(org.apache.hadoop.hdfs.server.namenode.FSNamesystem,org.apache.hadoop.hdfs.server.common.HdfsServerConstants$StartupOption,org.apache.hadoop.hdfs.server.namenode.MetaRecoveryContext)>",closeAllStreams,<*> toAtLeastTxId recovery 
"<org.apache.hadoop.hdfs.server.namenode.FSImage: boolean loadFSImage(org.apache.hadoop.hdfs.server.namenode.FSNamesystem,org.apache.hadoop.hdfs.server.common.HdfsServerConstants$StartupOption,org.apache.hadoop.hdfs.server.namenode.MetaRecoveryContext)>",debug,Planning to load edit log stream:  elis 
"<org.apache.hadoop.hdfs.server.namenode.FSImage: boolean loadFSImage(org.apache.hadoop.hdfs.server.namenode.FSNamesystem,org.apache.hadoop.hdfs.server.common.HdfsServerConstants$StartupOption,org.apache.hadoop.hdfs.server.namenode.MetaRecoveryContext)>",error,Failed to load image from  i$ 
"<org.apache.hadoop.hdfs.server.namenode.FSImage: boolean loadFSImage(org.apache.hadoop.hdfs.server.namenode.FSNamesystem,org.apache.hadoop.hdfs.server.common.HdfsServerConstants$StartupOption,org.apache.hadoop.hdfs.server.namenode.MetaRecoveryContext)>",info,No edit log streams selected.
"<org.apache.hadoop.hdfs.server.namenode.FSImage: boolean loadFSImage(org.apache.hadoop.hdfs.server.namenode.FSNamesystem,org.apache.hadoop.hdfs.server.common.HdfsServerConstants$StartupOption,org.apache.hadoop.hdfs.server.namenode.MetaRecoveryContext)>",setMaxOpSize,dfs.namenode.max.op.size 
<org.apache.hadoop.hdfs.server.namenode.FSImage$FSImageSaver: void run()>,error,Unable to save image for  <*> 
<org.apache.hadoop.hdfs.server.namenode.FSImage$FSImageSaver: void run()>,info,Cancelled image saving for  <*> :  <*> 
<org.apache.hadoop.hdfs.server.namenode.FSEditLogLoader: void dumpOpCounts(java.util.EnumMap)>,append,Summary of operations loaded from edit log:\n  
<org.apache.hadoop.hdfs.server.namenode.FSEditLogLoader: org.apache.hadoop.hdfs.server.namenode.FSEditLogLoader$EditLogValidation validateEditLog(org.apache.hadoop.hdfs.server.namenode.EditLogInputStream)>,warn,Caught exception after reading  numValid  ops from  in  while determining its valid length. Position was  <*> 
<org.apache.hadoop.hdfs.server.namenode.FSEditLogLoader: org.apache.hadoop.hdfs.server.namenode.FSEditLogLoader$EditLogValidation validateEditLog(org.apache.hadoop.hdfs.server.namenode.EditLogInputStream)>,warn,"After resync, position is  <*> "
<org.apache.hadoop.hdfs.server.namenode.FSEditLogLoader: org.apache.hadoop.hdfs.server.namenode.FSEditLogLoader$EditLogValidation scanEditLog(org.apache.hadoop.hdfs.server.namenode.EditLogInputStream)>,warn,Caught exception after reading  numValid  ops from  in  while determining its valid length. Position was  <*> 
<org.apache.hadoop.hdfs.server.namenode.FSEditLogLoader: org.apache.hadoop.hdfs.server.namenode.FSEditLogLoader$EditLogValidation scanEditLog(org.apache.hadoop.hdfs.server.namenode.EditLogInputStream)>,warn,"After resync, position is  <*> "
"<org.apache.hadoop.hdfs.server.namenode.FSEditLogLoader: long loadEditRecords(org.apache.hadoop.hdfs.server.namenode.EditLogInputStream,boolean,long,org.apache.hadoop.hdfs.server.common.HdfsServerConstants$StartupOption,org.apache.hadoop.hdfs.server.namenode.MetaRecoveryContext)>",editLogLoaderPrompt,We failed to read txId  expectedTxId 
"<org.apache.hadoop.hdfs.server.namenode.FSEditLogLoader: long loadEditRecords(org.apache.hadoop.hdfs.server.namenode.EditLogInputStream,boolean,long,org.apache.hadoop.hdfs.server.common.HdfsServerConstants$StartupOption,org.apache.hadoop.hdfs.server.namenode.MetaRecoveryContext)>",editLogLoaderPrompt,"There appears to be a gap in the edit log.  We expected txid  expectedTxId , but got txid  <*> . "
"<org.apache.hadoop.hdfs.server.namenode.FSEditLogLoader: long loadEditRecords(org.apache.hadoop.hdfs.server.namenode.EditLogInputStream,boolean,long,org.apache.hadoop.hdfs.server.common.HdfsServerConstants$StartupOption,org.apache.hadoop.hdfs.server.namenode.MetaRecoveryContext)>",editLogLoaderPrompt,"There appears to be an out-of-order edit in the edit log.  We expected txid  expectedTxId , but got txid  <*> . "
"<org.apache.hadoop.hdfs.server.namenode.FSEditLogLoader: long loadEditRecords(org.apache.hadoop.hdfs.server.namenode.EditLogInputStream,boolean,long,org.apache.hadoop.hdfs.server.common.HdfsServerConstants$StartupOption,org.apache.hadoop.hdfs.server.namenode.MetaRecoveryContext)>",editLogLoaderPrompt,Failed to apply edit log operation  <*> : error  <*> 
"<org.apache.hadoop.hdfs.server.namenode.FSEditLogLoader: long loadEditRecords(org.apache.hadoop.hdfs.server.namenode.EditLogInputStream,boolean,long,org.apache.hadoop.hdfs.server.common.HdfsServerConstants$StartupOption,org.apache.hadoop.hdfs.server.namenode.MetaRecoveryContext)>",error,Encountered exception on operation  <*> 
"<org.apache.hadoop.hdfs.server.namenode.FSEditLogLoader: long loadEditRecords(org.apache.hadoop.hdfs.server.namenode.EditLogInputStream,boolean,long,org.apache.hadoop.hdfs.server.common.HdfsServerConstants$StartupOption,org.apache.hadoop.hdfs.server.namenode.MetaRecoveryContext)>",info,replaying edit log:  deltaTxId / <*>  transactions completed. ( <*> %) 
"<org.apache.hadoop.hdfs.server.namenode.FSEditLogLoader: long loadEditRecords(org.apache.hadoop.hdfs.server.namenode.EditLogInputStream,boolean,long,org.apache.hadoop.hdfs.server.common.HdfsServerConstants$StartupOption,org.apache.hadoop.hdfs.server.namenode.MetaRecoveryContext)>",info,Stopped at OP_START_ROLLING_UPGRADE for rollback.
"<org.apache.hadoop.hdfs.server.namenode.FSEditLogLoader: long loadEditRecords(org.apache.hadoop.hdfs.server.namenode.EditLogInputStream,boolean,long,org.apache.hadoop.hdfs.server.common.HdfsServerConstants$StartupOption,org.apache.hadoop.hdfs.server.namenode.MetaRecoveryContext)>",trace,Acquiring write lock to replay edit log
"<org.apache.hadoop.hdfs.server.namenode.FSEditLogLoader: long loadEditRecords(org.apache.hadoop.hdfs.server.namenode.EditLogInputStream,boolean,long,org.apache.hadoop.hdfs.server.common.HdfsServerConstants$StartupOption,org.apache.hadoop.hdfs.server.namenode.MetaRecoveryContext)>",trace,"op= <*> , startOpt= startOpt , numEdits= numEdits , totalEdits= <*> "
"<org.apache.hadoop.hdfs.server.namenode.FSEditLogLoader: long loadEditRecords(org.apache.hadoop.hdfs.server.namenode.EditLogInputStream,boolean,long,org.apache.hadoop.hdfs.server.common.HdfsServerConstants$StartupOption,org.apache.hadoop.hdfs.server.namenode.MetaRecoveryContext)>",trace,replaying edit log finished
"<org.apache.hadoop.hdfs.server.namenode.FSEditLogLoader: long loadEditRecords(org.apache.hadoop.hdfs.server.namenode.EditLogInputStream,boolean,long,org.apache.hadoop.hdfs.server.common.HdfsServerConstants$StartupOption,org.apache.hadoop.hdfs.server.namenode.MetaRecoveryContext)>",trace,replaying edit log finished
"<org.apache.hadoop.hdfs.server.namenode.FSEditLogLoader: long loadEditRecords(org.apache.hadoop.hdfs.server.namenode.EditLogInputStream,boolean,long,org.apache.hadoop.hdfs.server.common.HdfsServerConstants$StartupOption,org.apache.hadoop.hdfs.server.namenode.MetaRecoveryContext)>",warn,Stopped reading edit log at  <*> / <*> 
"<org.apache.hadoop.hdfs.server.namenode.FSEditLogLoader: long applyEditLogOp(org.apache.hadoop.hdfs.server.namenode.FSEditLogOp,org.apache.hadoop.hdfs.server.namenode.FSDirectory,org.apache.hadoop.hdfs.server.common.HdfsServerConstants$StartupOption,int,long)>",debug,<*> :  <*>  numblocks :  <*>  clientHolder  <*>  clientMachine  <*> 
"<org.apache.hadoop.hdfs.server.namenode.FSEditLogLoader: long applyEditLogOp(org.apache.hadoop.hdfs.server.namenode.FSEditLogOp,org.apache.hadoop.hdfs.server.namenode.FSDirectory,org.apache.hadoop.hdfs.server.common.HdfsServerConstants$StartupOption,int,long)>",debug,Reopening an already-closed file for append
"<org.apache.hadoop.hdfs.server.namenode.FSEditLogLoader: long applyEditLogOp(org.apache.hadoop.hdfs.server.namenode.FSEditLogOp,org.apache.hadoop.hdfs.server.namenode.FSDirectory,org.apache.hadoop.hdfs.server.common.HdfsServerConstants$StartupOption,int,long)>",debug,<*> :  <*>  numblocks :  <*>  clientHolder  <*>  clientMachine  <*> 
"<org.apache.hadoop.hdfs.server.namenode.FSEditLogLoader: long applyEditLogOp(org.apache.hadoop.hdfs.server.namenode.FSEditLogOp,org.apache.hadoop.hdfs.server.namenode.FSDirectory,org.apache.hadoop.hdfs.server.common.HdfsServerConstants$StartupOption,int,long)>",debug,<*> :  <*>  numblocks :  <*> 
"<org.apache.hadoop.hdfs.server.namenode.FSEditLogLoader: long applyEditLogOp(org.apache.hadoop.hdfs.server.namenode.FSEditLogOp,org.apache.hadoop.hdfs.server.namenode.FSDirectory,org.apache.hadoop.hdfs.server.common.HdfsServerConstants$StartupOption,int,long)>",debug,<*> :  <*>  new block id :  <*> 
"<org.apache.hadoop.hdfs.server.namenode.FSEditLogLoader: long applyEditLogOp(org.apache.hadoop.hdfs.server.namenode.FSEditLogOp,org.apache.hadoop.hdfs.server.namenode.FSDirectory,org.apache.hadoop.hdfs.server.common.HdfsServerConstants$StartupOption,int,long)>",trace,replaying edit log:  op 
"<org.apache.hadoop.hdfs.server.namenode.FSEditLog: void startLogSegment(long,boolean)>",info,Starting log segment at  segmentTxId 
<org.apache.hadoop.hdfs.server.namenode.FSEditLog: void releaseBackupStream(org.apache.hadoop.hdfs.server.protocol.NamenodeRegistration)>,info,Removing backup journal  <*> 
"<org.apache.hadoop.hdfs.server.namenode.FSEditLog: void registerBackupNode(org.apache.hadoop.hdfs.server.protocol.NamenodeRegistration,org.apache.hadoop.hdfs.server.protocol.NamenodeRegistration)>",info,Backup node  bnReg  re-registers 
"<org.apache.hadoop.hdfs.server.namenode.FSEditLog: void registerBackupNode(org.apache.hadoop.hdfs.server.protocol.NamenodeRegistration,org.apache.hadoop.hdfs.server.protocol.NamenodeRegistration)>",info,Registering new backup node:  bnReg 
<org.apache.hadoop.hdfs.server.namenode.FSEditLog: void logSync()>,fatal,Could not sync enough journals to persistent storage due to  <*> .  Unsynced transactions:  <*> 
<org.apache.hadoop.hdfs.server.namenode.FSEditLog: void logSync()>,fatal,Could not sync enough journals to persistent storage. Unsynced transactions:  <*> 
<org.apache.hadoop.hdfs.server.namenode.FSEditLog: void initSharedJournalsForRead()>,warn,"Initializing shared journals for READ, already open for READ"
<org.apache.hadoop.hdfs.server.namenode.FSEditLog: void initJournals(java.util.List)>,error,No edits directories configured!
<org.apache.hadoop.hdfs.server.namenode.FSEditLog: void endCurrentLogSegment(boolean)>,info,Ending log segment  <*> 
<org.apache.hadoop.hdfs.server.namenode.FSEditLog: void close()>,debug,Closing log when already closed
<org.apache.hadoop.hdfs.server.namenode.FSEditLog: void close()>,warn,Error closing journalSet
<org.apache.hadoop.hdfs.server.namenode.FSEditLog: void close()>,warn,Error closing journalSet
<org.apache.hadoop.hdfs.server.namenode.FSEditLog: void abortCurrentLogSegment()>,warn,All journals failed to abort
<org.apache.hadoop.hdfs.server.namenode.FSEditLog: long rollEditLog()>,info,Rolling edit logs
"<org.apache.hadoop.hdfs.server.namenode.FSEditLog: java.lang.Class getJournalClass(org.apache.hadoop.conf.Configuration,java.lang.String)>",warn,"No class configured for  uriScheme ,  <*>  is empty "
"<org.apache.hadoop.hdfs.server.namenode.FSDirectory: void verifyMaxDirItems(org.apache.hadoop.hdfs.server.namenode.INode[],int)>",error,FSDirectory.verifyMaxDirItems:  <*> 
"<org.apache.hadoop.hdfs.server.namenode.FSDirectory: void verifyMaxComponentLength(byte[],java.lang.Object,int)>",error,ERROR in FSDirectory.verifyINodeName
"<org.apache.hadoop.hdfs.server.namenode.FSDirectory: void validateRenameSource(java.lang.String,org.apache.hadoop.hdfs.server.namenode.INodesInPath)>",warn,DIR* FSDirectory.unprotectedRenameTo:  <*> 
"<org.apache.hadoop.hdfs.server.namenode.FSDirectory: void validateRenameSource(java.lang.String,org.apache.hadoop.hdfs.server.namenode.INodesInPath)>",warn,DIR* FSDirectory.unprotectedRenameTo:  rename source cannot be the root 
"<org.apache.hadoop.hdfs.server.namenode.FSDirectory: void validateRenameOverwrite(java.lang.String,java.lang.String,boolean,org.apache.hadoop.hdfs.server.namenode.INode,org.apache.hadoop.hdfs.server.namenode.INode)>",warn,DIR* FSDirectory.unprotectedRenameTo:  <*> 
"<org.apache.hadoop.hdfs.server.namenode.FSDirectory: void validateRenameOverwrite(java.lang.String,java.lang.String,boolean,org.apache.hadoop.hdfs.server.namenode.INode,org.apache.hadoop.hdfs.server.namenode.INode)>",warn,DIR* FSDirectory.unprotectedRenameTo:  <*> 
"<org.apache.hadoop.hdfs.server.namenode.FSDirectory: void validateRenameOverwrite(java.lang.String,java.lang.String,boolean,org.apache.hadoop.hdfs.server.namenode.INode,org.apache.hadoop.hdfs.server.namenode.INode)>",warn,DIR* FSDirectory.unprotectedRenameTo:  <*> 
"<org.apache.hadoop.hdfs.server.namenode.FSDirectory: void validateRenameDestination(java.lang.String,java.lang.String,org.apache.hadoop.hdfs.server.namenode.INode)>",warn,DIR* FSDirectory.unprotectedRenameTo:  <*> 
"<org.apache.hadoop.hdfs.server.namenode.FSDirectory: void updateCountNoQuotaCheck(org.apache.hadoop.hdfs.server.namenode.INodesInPath,int,long,long)>",error,BUG: unexpected exception 
"<org.apache.hadoop.hdfs.server.namenode.FSDirectory: void unprotectedConcat(java.lang.String,java.lang.String[],long)>",debug,DIR* FSNamesystem.concat to  target 
"<org.apache.hadoop.hdfs.server.namenode.FSDirectory: void renameTo(java.lang.String,java.lang.String,long,org.apache.hadoop.hdfs.server.namenode.INode$BlocksMapUpdateInfo,org.apache.hadoop.fs.Options$Rename[])>",debug,DIR* FSDirectory.renameTo:  src  to  dst 
"<org.apache.hadoop.hdfs.server.namenode.FSDirectory: void addEncryptionZone(org.apache.hadoop.hdfs.server.namenode.INodeWithAdditionalFields,org.apache.hadoop.hdfs.server.namenode.XAttrFeature)>",warn,Error parsing protocol buffer of EZ XAttr  <*>  dir: <*> 
"<org.apache.hadoop.hdfs.server.namenode.FSDirectory: void <init>(org.apache.hadoop.hdfs.server.namenode.FSNamesystem,org.apache.hadoop.conf.Configuration)>",info,Caching file names occuring more than  <*>  times 
"<org.apache.hadoop.hdfs.server.namenode.FSDirectory: org.apache.hadoop.hdfs.server.namenode.INodeFile unprotectedAddFile(long,java.lang.String,org.apache.hadoop.fs.permission.PermissionStatus,java.util.List,java.util.List,short,long,long,long,boolean,java.lang.String,java.lang.String,byte)>",debug,DIR* FSDirectory.unprotectedAddFile: exception when add  path  to the file system 
"<org.apache.hadoop.hdfs.server.namenode.FSDirectory: org.apache.hadoop.hdfs.server.namenode.INodeFile addFile(java.lang.String,org.apache.hadoop.fs.permission.PermissionStatus,short,long,java.lang.String,java.lang.String)>",debug,DIR* addFile:  path  is added 
"<org.apache.hadoop.hdfs.server.namenode.FSDirectory: org.apache.hadoop.hdfs.server.namenode.INodeFile addFile(java.lang.String,org.apache.hadoop.fs.permission.PermissionStatus,short,long,java.lang.String,java.lang.String)>",info,DIR* addFile: failed to add  path 
"<org.apache.hadoop.hdfs.server.namenode.FSDirectory: org.apache.hadoop.hdfs.server.namenode.INode[] getRelativePathINodes(org.apache.hadoop.hdfs.server.namenode.INode,org.apache.hadoop.hdfs.server.namenode.INode)>",warn,Could not get full path. Corresponding file might have deleted already.
"<org.apache.hadoop.hdfs.server.namenode.FSDirectory: org.apache.hadoop.fs.FileEncryptionInfo getFileEncryptionInfo(org.apache.hadoop.hdfs.server.namenode.INode,int,org.apache.hadoop.hdfs.server.namenode.INodesInPath)>",debug,Encryption zone  <*>  does not have a valid path. 
"<org.apache.hadoop.hdfs.server.namenode.FSDirectory: org.apache.hadoop.fs.FileEncryptionInfo getFileEncryptionInfo(org.apache.hadoop.hdfs.server.namenode.INode,int,org.apache.hadoop.hdfs.server.namenode.INodesInPath)>",warn,Could not find encryption XAttr for file  <*>  in encryption zone  <*> 
"<org.apache.hadoop.hdfs.server.namenode.FSDirectory: long unprotectedDelete(org.apache.hadoop.hdfs.server.namenode.INodesInPath,org.apache.hadoop.hdfs.server.namenode.INode$BlocksMapUpdateInfo,java.util.List,long)>",debug,DIR* FSDirectory.unprotectedDelete:  <*>  is removed 
"<org.apache.hadoop.hdfs.server.namenode.FSDirectory: long delete(java.lang.String,org.apache.hadoop.hdfs.server.namenode.INode$BlocksMapUpdateInfo,java.util.List,long)>",debug,DIR* FSDirectory.delete:  src 
"<org.apache.hadoop.hdfs.server.namenode.FSDirectory: java.lang.String constructRemainingPath(java.lang.String,byte[][],int)>",debug,Resolved path is  <*> 
"<org.apache.hadoop.hdfs.server.namenode.FSDirectory: boolean unprotectedRenameTo(java.lang.String,java.lang.String,long,org.apache.hadoop.hdfs.server.namenode.INode$BlocksMapUpdateInfo,org.apache.hadoop.fs.Options$Rename[])>",debug,DIR* FSDirectory.unprotectedRenameTo:  src  is renamed to  dst 
"<org.apache.hadoop.hdfs.server.namenode.FSDirectory: boolean unprotectedRenameTo(java.lang.String,java.lang.String,long,org.apache.hadoop.hdfs.server.namenode.INode$BlocksMapUpdateInfo,org.apache.hadoop.fs.Options$Rename[])>",warn,DIR* FSDirectory.unprotectedRenameTo:  rename destination cannot be the root 
"<org.apache.hadoop.hdfs.server.namenode.FSDirectory: boolean unprotectedRenameTo(java.lang.String,java.lang.String,long,org.apache.hadoop.hdfs.server.namenode.INode$BlocksMapUpdateInfo,org.apache.hadoop.fs.Options$Rename[])>",warn,DIR* FSDirectory.unprotectedRenameTo:  <*> 
"<org.apache.hadoop.hdfs.server.namenode.FSDirectory: boolean unprotectedRenameTo(java.lang.String,java.lang.String,long,org.apache.hadoop.hdfs.server.namenode.INode$BlocksMapUpdateInfo,org.apache.hadoop.fs.Options$Rename[])>",warn,DIR* FSDirectory.unprotectedRenameTo:  <*> 
"<org.apache.hadoop.hdfs.server.namenode.FSDirectory: boolean unprotectedRenameTo(java.lang.String,java.lang.String,long,org.apache.hadoop.hdfs.server.namenode.INode$BlocksMapUpdateInfo,org.apache.hadoop.fs.Options$Rename[])>",warn,DIR* FSDirectory.unprotectedRenameTo:  <*> 
"<org.apache.hadoop.hdfs.server.namenode.FSDirectory: boolean unprotectedRenameTo(java.lang.String,java.lang.String,long,org.apache.hadoop.hdfs.server.namenode.INode$BlocksMapUpdateInfo,org.apache.hadoop.fs.Options$Rename[])>",warn,DIR* FSDirectory.unprotectedRenameTo: failed to rename  src  to  dst 
"<org.apache.hadoop.hdfs.server.namenode.FSDirectory: boolean unprotectedRenameTo(java.lang.String,java.lang.String,long)>",debug,DIR* FSDirectory.unprotectedRenameTo:  src  is renamed to  dst 
"<org.apache.hadoop.hdfs.server.namenode.FSDirectory: boolean unprotectedRenameTo(java.lang.String,java.lang.String,long)>",warn,DIR* FSDirectory.unprotectedRenameTo: failed to rename  src  to  dst  because destination exists 
"<org.apache.hadoop.hdfs.server.namenode.FSDirectory: boolean unprotectedRenameTo(java.lang.String,java.lang.String,long)>",warn,DIR* FSDirectory.unprotectedRenameTo: failed to rename  src  to  dst  because destination\'s parent does not exist 
"<org.apache.hadoop.hdfs.server.namenode.FSDirectory: boolean unprotectedRenameTo(java.lang.String,java.lang.String,long)>",warn,DIR* FSDirectory.unprotectedRenameTo: failed to rename  src  to  dst  because the source can not be removed 
"<org.apache.hadoop.hdfs.server.namenode.FSDirectory: boolean unprotectedRenameTo(java.lang.String,java.lang.String,long)>",warn,DIR* FSDirectory.unprotectedRenameTo: failed to rename  src  to  dst 
"<org.apache.hadoop.hdfs.server.namenode.FSDirectory: boolean unprotectedRemoveBlock(java.lang.String,org.apache.hadoop.hdfs.server.namenode.INodeFile,org.apache.hadoop.hdfs.protocol.Block)>",debug,DIR* FSDirectory.removeBlock:  path  with  block  block is removed from the file system 
"<org.apache.hadoop.hdfs.server.namenode.FSDirectory: boolean renameTo(java.lang.String,java.lang.String,long)>",debug,DIR* FSDirectory.renameTo:  src  to  dst 
"<org.apache.hadoop.hdfs.server.namenode.FSDirectory: boolean deleteAllowed(org.apache.hadoop.hdfs.server.namenode.INodesInPath,java.lang.String)>",debug,DIR* FSDirectory.unprotectedDelete: failed to remove  src  because it does not exist 
"<org.apache.hadoop.hdfs.server.namenode.FSDirectory: boolean deleteAllowed(org.apache.hadoop.hdfs.server.namenode.INodesInPath,java.lang.String)>",warn,DIR* FSDirectory.unprotectedDelete: failed to remove  src  because the root is not allowed to be deleted 
"<org.apache.hadoop.hdfs.server.namenode.FSDirectory: boolean addLastINodeNoQuotaCheck(org.apache.hadoop.hdfs.server.namenode.INodesInPath,org.apache.hadoop.hdfs.server.namenode.INode)>",warn,FSDirectory.addChildNoQuotaCheck - unexpected
"<org.apache.hadoop.hdfs.server.namenode.FileJournalManager: void selectInputStreams(java.util.Collection,long,boolean)>",debug,this : selecting input streams starting at  fromTxId <*> from among  <*>  candidate file(s) 
<org.apache.hadoop.hdfs.server.namenode.FileJournalManager: void recoverUnfinalizedSegments()>,info,Recovering unfinalized segments in  <*> 
<org.apache.hadoop.hdfs.server.namenode.FileJournalManager: void recoverUnfinalizedSegments()>,info,Deleting zero-length edit log file  elf 
<org.apache.hadoop.hdfs.server.namenode.FileJournalManager: void recoverUnfinalizedSegments()>,info,Moving aside edit log file that seems to have zero transactions  elf 
<org.apache.hadoop.hdfs.server.namenode.FileJournalManager: void purgeLogsOlderThan(long)>,info,Purging logs older than  minTxIdToKeep 
"<org.apache.hadoop.hdfs.server.namenode.FileJournalManager: void finalizeLogSegment(long,long)>",info,Finalizing edits file  <*>  ->  <*> 
<org.apache.hadoop.hdfs.server.namenode.FileJournalManager: void doPreUpgrade()>,error,Failed to move aside pre-upgrade storage in image directory  <*> 
<org.apache.hadoop.hdfs.server.namenode.FileJournalManager: void doPreUpgrade()>,info,Starting upgrade of edits directory  <*> 
<org.apache.hadoop.hdfs.server.namenode.FileJournalManager: void discardEditLogSegments(long)>,info,"Discard the EditLog files, the given start txid is  startTxId "
<org.apache.hadoop.hdfs.server.namenode.FileJournalManager: void discardEditLogSegments(long)>,info,Trash the EditLog file  elf 
"<org.apache.hadoop.hdfs.server.namenode.FileJournalManager: void addStreamsToCollectionFromFiles(java.util.Collection,java.util.Collection,long,boolean)>",debug,passing over  elf  because it is in progress  and we are ignoring in-progress logs. 
"<org.apache.hadoop.hdfs.server.namenode.FileJournalManager: void addStreamsToCollectionFromFiles(java.util.Collection,java.util.Collection,long,boolean)>",debug,"passing over  elf  because it ends at  <*> , but we only care about transactions  as new as  fromTxId "
"<org.apache.hadoop.hdfs.server.namenode.FileJournalManager: void addStreamsToCollectionFromFiles(java.util.Collection,java.util.Collection,long,boolean)>",debug,selecting edit log stream  elf 
"<org.apache.hadoop.hdfs.server.namenode.FileJournalManager: void addStreamsToCollectionFromFiles(java.util.Collection,java.util.Collection,long,boolean)>",error,got IOException while trying to validate header of  elf .  Skipping. 
